"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"CT:TRST","CannTrust Hldgs Rg","TRST","12/28/2017","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA1378002077","BYVRPK2","128,477,440","CAD","Analyze"
"CT:STEP","STEP Energy Services Ltd","STEP","05/02/2017","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA85859H1055","BD6RP33","122,565,424","CAD","Analyze"
"CT:IPO","InPlay Oil Corp","IPO","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Energy","CA45780T2065","","119,505,048","CAD","Analyze"
"CT:NEPT","Neptune Wellness Solutions Inc","NEPT","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA64079L1058","","115,350,752","CAD","Analyze"
"CT:ANX","Anaconda Mining Inc.","ANX","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA03240P2070","","111,411,832","CAD","Analyze"
"CT:PONY","Painted Pony Energy Ltd","PONY","05/23/2017","Global Equity","Common stocks","Developed markets ex-US","Energy","CA6957791081","BF0LLW6","111,087,240","CAD","Analyze"
"CT:TML","Treasury Metals Inc.","TML","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA8946478259","","104,148,800","CAD","Analyze"
"CT:MPVD","Mountain Province Diamonds Inc","MPVD","12/31/1999","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA62426E4022","2607948","98,930,776","CAD","Analyze"
"CT:PSD","Pulse Seismic Inc.","PSD","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA74586Q1090","","95,214,136","CAD","Analyze"
"CT:AEZS","Aeterna Zentaris Inc.","AEZS","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Health Care","CA0079754028","","94,611,656","CAD","Analyze"
"CT:TGOD","Green Org Dutchm Rg","TGOD","05/02/2018","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA3932102088","BG0DCR1","89,954,480","CAD","Analyze"
"CT:ER","Eastmain Resources Inc.","ER","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA27743M1068","","79,921,328","CAD","Analyze"
"CT:PRQ","Petrus Resources Ltd.","PRQ","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Energy","CA71678F1080","","75,244,800","CAD","Analyze"
"CT:NHK","Nighthawk Gold Corp.","NHK","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA65412D8098","","72,370,080","CAD","Analyze"
"CT:LABS","Medipharm Labs Corp","LABS","07/29/2019","Global Equity","Common stocks","Developed markets ex-US","Health Care","CA58504D1006","BG87WT7","71,217,632","CAD","Analyze"
"CT:PAT","Patriot One Technologies Inc.","PAT","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA70339L1085","","70,842,624","CAD","Analyze"
"CT:AMM","Almaden Minerals Ltd.","AMM","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Materials","CA0202833053","","67,238,288","CAD","Analyze"
"CT:EXN","Excellon Resources Inc","EXN","08/09/1996","Global Equity","Common stocks","Developed markets ex-US","Materials","CA30069C2076","BMXP889","61,267,744","CAD","Analyze"
"CT:GMX","Globex Mining Enterprises Inc.","GMX","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA3799005093","","57,514,908","CAD","Analyze"
"CT:ELEF","Silver Elephant Mining Corp","ELEF","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA82770L1094","","55,549,260","CAD","Analyze"
"CT:MBA","CIBT Education Group Inc","MBA","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA17163Y1025","","45,628,572","CAD","Analyze"
"CT:DN","Delta 9 Cannabis Inc.","DN","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA2477541049","","44,060,356","CAD","Analyze"
"CT:AVL","Avalon Advanced Materials Inc.","AVL","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA05337L1067","","43,366,560","CAD","Analyze"
"CT:HSM","Helius Medical Technologies Inc. Class A","HSM","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Health Care","US42328V5049","BDT72Z1","42,531,080","CAD","Analyze"
